id	clade	name	description	synonyms
NCBI:txid2655206	species	Erebidae sp. Lep2901		[]
NCBI:txid1620835	species	Sundasciurus moellendorffi		[]
NCBI:txid2565135	no rank	Salmonella enterica subsp. enterica serovar Ughelli		[]
NCBI:txid1615194	species	Polychaeta sp. EBS61o-Po17		[]
NCBI:txid1994183	species	Aphidiinae sp. BIOUG02546-H05		[]
NCBI:txid2412023	species	Psychoda sp. BIOUG31755-E02		[]
NCBI:txid1602075	species	Pseudoparmelia cyphellata		["Parmelia cyphellata"]
NCBI:txid925787	subfamily	Odontinae		[]
NCBI:txid1224591	species	Enterobacteriaceae bacterium Kapa3d		[]
NCBI:txid406617	species	Calicivirus strain SA181-KOR		[]
NCBI:txid2065222	species	Bactrocera ceylanica		[]
NCBI:txid644264	no rank	Influenza A virus (A/quail/Yogjakarta/UT1075/2004(H5N1))		[]
NCBI:txid2603248	species	Aureoboletus russellii		["Boletus russellii"]
NCBI:txid2768039	species	uncultured Duncaniella sp.		[]
NCBI:txid1416314	no rank	Influenza A virus (A/Washington/61/2012(H3N2))		[]
NCBI:txid1386876	species	Cloning vector pCU-LYS21		[]
NCBI:txid1395123	strain	Cupriavidus metallidurans H1130		[]
NCBI:txid1422460	strain	Staphylococcus aureus VET0140R		[]
NCBI:txid456411	species	Phyllomyias urichi		[]
NCBI:txid2268524	species	Cloning vector pDSG387		[]
NCBI:txid128392	species	Haemophilus sp. CCUG 31339		["Haemophilus sp. CCUG31339"]
NCBI:txid892175	species	Acrochaetiales sp. BOLD:AAC4086		[]
NCBI:txid2641558	no rank	unclassified Picromerus		[]
NCBI:txid903415	species	Nocardioides sp. H3(2010)		[]
NCBI:txid1575806	no rank	Influenza A virus (A/chicken/Ningxia/NX2077/2013(H9))		[]
NCBI:txid2151082	species	Homolobinae sp. BIOUG24351-B03		[]
NCBI:txid1273345	species	Enterobacter sp. SB24		[]
NCBI:txid1545550	species	Burkholderia sp. LP3		[]
NCBI:txid890178	species	candidate division JS1 bacterium enrichment culture clone B4144		[]
NCBI:txid1488768	species	Cucullia strigata		[]
NCBI:txid2252095	species	Chironominae sp. BIOUG20551-F08		[]
NCBI:txid2693855	species	Marine virus AFVG_250M660		[]
NCBI:txid694420	species	Leptoseris sp. N1		[]
NCBI:txid1844469	strain	Nostoc minutum NIES-26		[]
NCBI:txid2281929	species	Megaselia sp. BIOUG20671-G10		[]
NCBI:txid2834820	species	Citrus keraji x Citrus depressa		[]
NCBI:txid1632397	species	bacterium YC-LK-LKJ42		[]
NCBI:txid425989	species	Helicopha sp. L9		[]
NCBI:txid204483	species	Erigeron sp. Escobedo 305		[]
NCBI:txid1864328	species	Reduviidae sp. BOLD:AAG2724		[]
NCBI:txid185359	species	Babesia sp. GA2		[]
NCBI:txid2789915	species	Bdelloidea sp. FJ25		[]
NCBI:txid1481000	species	Mycobacterium sp. Lor63		[]
NCBI:txid129650	species	uncultured Corynebacterium CB7		[]
NCBI:txid1985837	no rank	Influenza A virus (A/shorebird/Delaware Bay/331/2016(H3N8))		[]
NCBI:txid864647	genus	Laetmogone		[]
NCBI:txid167090	species	Hemileuca nuttali		[]
NCBI:txid2628189	no rank	unclassified Pyrogaster		[]
NCBI:txid2524056	species	Plectiscidea sp. BIOUG04125-A02		[]
NCBI:txid2447155	species	Trichoribates sp. BIOUG08379-E01		[]
NCBI:txid2620406	no rank	unclassified Glossosoma		[]
NCBI:txid578260	species	Bacillus sp. CCGE2267		[]
NCBI:txid2281131	species	Megaselia sp. BIOUG27042-F02		[]
NCBI:txid2504803	species	Ichneumonidae sp. INDOBIOSYS-CCDB24598-G05		[]
NCBI:txid856298	species	Telinga sangaica		["Mycalesis sangaica"]
NCBI:txid115887	species	Zamia ipetiensis		[]
NCBI:txid1126859	species	Sphingobium sp. C1-1		[]
NCBI:txid2667257	species	Linopodes sp. BOLD:ADF3819		[]
NCBI:txid1264943	species	Ischyropsalis kollari		[]
NCBI:txid327512	species	Vibrio sp. A31		[]
NCBI:txid705028	no rank	Influenza A virus (A/Jeju/255/2006(H3N2))		[]
NCBI:txid547955	species	Haplospiza rustica		[]
NCBI:txid362577	species	Dunaliella sp. SPMO 112-1		[]
NCBI:txid1164391	species	Nocardiaceae bacterium 'ARUP UnID 470'		[]
NCBI:txid1359421	species	Yersinia sp. Ri1Ps_4679		[]
NCBI:txid1751978	species	Stenotrophomonas sp. 221		[]
NCBI:txid1072436	species	Megalopta sp. morph-p		[]
NCBI:txid1874688	species	Escherichia phage vB_Eco_slurp01		[]
NCBI:txid888133	species	Goera sp. AMI 1		[]
NCBI:txid912409	varietas	Carex crinita var. crinita		[]
NCBI:txid588280	species	Bacillus sp. DCR_ME06-105		[]
NCBI:txid2116938	species	Atrichopogon sp. BIOUG20940-A07		[]
NCBI:txid1932264	species	Heliconia mutisiana		[]
NCBI:txid508541	no rank	Leptospira borgpetersenii serovar Moldaviae		[]
NCBI:txid1877277	species	Cyrnus cf. trimaculatus FinnCAD-003		[]
NCBI:txid1991681	species	Chironomidae sp. BIOUG02139-H01		[]
NCBI:txid642339	species	Frullania obcordata		[]
NCBI:txid1649303	species	Citrogramma currani		[]
NCBI:txid1253770	species	Ichneumoninae sp. ASWAY357-08		[]
NCBI:txid1590939	no rank	Influenza A virus (A/Thailand/CU-C4546/2014(H3N2))		[]
NCBI:txid514977	no rank	Influenza A virus (A/TOKYO/10709/2005(H3N2))		["Influenza A virus (A/Human/TOKYO/10709/2005(H3N2))"]
NCBI:txid1092909	no rank	Influenza A virus (A/chicken/Egypt/118AF/2011(H5N1))		[]
NCBI:txid441344	species	Dolichopoda kiriakii		[]
NCBI:txid2339163	subspecies	Tyto novaehollandiae novaehollandiae		[]
