id	name	description	synonyms
HP:0031071	Abnormal endocrine morphology	Any anomaly of the structure of an organ ofthe endocrine system.	[]
HP:0010625	Anterior pituitary dysgenesis	Absence or underdevelopment of the anterior pituitary gland, also known as the adenohypophysis.	["Adenohypophysis"]
HP:0012022	Congenital portosystemic venous shunt	A congenital defect of the vasculature such that there is a shunt (by-pass) of blood directly from the portal vein to the vena cava (i.e., the blood from the portal vein is not filtered through the liver).	[]
HP:0033226	Bowman capsular hyaline drops	An insudative accumulation of amorphous, eosinophilic, periodic acid-Schiff (PAS)-positive, silver-negative material protruding from Bowman's capsule into the urinary space. Although not always evident by light microscopy, this material is located between Bowman's capsule and the parietal epithelial cells, in some cases associated with newly formed matrix material.	["Capsular hyaline drops within Bowman's capsule"]
HP:0100431	Broad distal phalanx of the 3rd toe		["Broad outermost bone of the 3rd toe","Wide outermost bone of the 3rd toe"]
HP:0012487	Cerebellopontine angle arachnoid cyst	An arachnoid cyst located at the margin of the cerebellum and pons.	[]
HP:0008208	Parathyroid hyperplasia	Hyperplasia of the parathyroid gland.	["Enlarged parathyroid glands"]
HP:0010167	Irregular epiphyses of the toes		["Irregular end part of the toe bones"]
HP:0006916	Intraaxonal accumulation of curvilinear autofluorescent lipopigment storage material	Curvilinear intracellular accumulation of autofluorescent lipopigment storage material within axons.	[]
HP:0008281	Acute hyperammonemia	An increased concentration of ammonia in the blood with sudden onset.	["Hyperammonemia, acute"]
HP:0012280	Hepatic amyloidosis	A form of amyloidosis that affects the liver.	[]
HP:0032707	Focal aware cognitive seizure with dyslexia/alexia	A focal cognitive seizure with dyslexia / alexia characterized by retained awareness throughout the seizure.	[]
HP:0032897	Focal impaired awareness sensory seizure with gustatory features	A focal sensory seizure with gustatory features in which awareness is partially or fully impaired at some point during the seizure.	[]
HP:0003158	Hyposthenuria	An abnormally low urinary specific gravity, i.e., reduced concentration of solutes in the urine.	["Reduced urinary osmolality"]
HP:0009162	Absent middle phalanx of 5th finger	Absence of the middle phalanx of the little (5th) finger.	["HP:0005774","Absent middle bone of little finger","Absent middle bone of pinkie finger","Absent middle bone of pinky finger","Aplasia of the middle phalanx of the 5th finger"]
HP:0010798	Lip freckle	Increased focal pigmentation of the vermilion of the lips.	["Ephelis of lip","Labial lentigo","Lip freckle","Lip lentigo"]
HP:0200117	Recurrent upper and lower respiratory tract infections	Increased susceptibility to upper and lower respiratory tract infections, as manifested by recurrent episodes of upper and lower respiratory tract infections.	[]
