id	name	description	synonyms	organism
Q0AJ07	MIAA_NITEC	tRNA dimethylallyltransferase	["EC:2.5.1.75", "Isopentenyl-diphosphate:tRNA isopentenyltransferase", "Dimethylallyl diphosphate:tRNA dimethylallyltransferase"]	NCBI:txid335283
Q972K6	VPB12_SULTO	Putative antitoxin VapB12	[]	NCBI:txid273063
B8FES5	RL14_DESAL	50S ribosomal protein L14	[]	NCBI:txid218208
A7MLI3	ZNTB_CROS8	Zinc transport protein ZntB	[]	NCBI:txid290339
A7ZP90	NUON_ECO24	NADH-quinone oxidoreductase subunit N	["NADH dehydrogenase I subunit N", "EC:7.1.1.-", "NDH-1 subunit N"]	NCBI:txid331111
O31441	YBYB_BACSU	Uncharacterized protein YbyB (precursor)	[]	NCBI:txid224308
P15907	SIAT1_HUMAN	Beta-galactoside alpha-2,6-sialyltransferase 1	["CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,6-sialyltransferase 1", "ST6Gal I", "B-cell antigen CD75", "Sialyltransferase 1", "EC:2.4.99.1", "Alpha 2,6-ST 1"]	NCBI:txid9606
Q5WWK4	RUVB_LEGPL	Holliday junction ATP-dependent DNA helicase RuvB	["EC:3.6.4.12"]	NCBI:txid297245
B2K579	TRUD_YERPB	tRNA pseudouridine synthase D	["EC:5.4.99.27", "tRNA pseudouridine(13) synthase", "tRNA-uridine isomerase D", "tRNA pseudouridylate synthase D"]	NCBI:txid502801
P63870	CYSK_STAAM	Cysteine synthase	["EC:2.5.1.47", "CSase", "O-acetylserine sulfhydrylase", "O-acetylserine (thiol)-lyase"]	NCBI:txid158878
Q6HLK6	QUEC_BACHK	7-cyano-7-deazaguanine synthase	["Queuosine biosynthesis protein QueC", "7-cyano-7-carbaguanine synthase", "PreQ(0) synthase", "EC:6.3.4.20"]	NCBI:txid281309
B1J4W3	HTPX_PSEPW	Protease HtpX	["EC:3.4.24.-", "Heat shock protein HtpX"]	NCBI:txid390235
B4SYX8	MENC_SALNS	o-succinylbenzoate synthase	["4-(2'-carboxyphenyl)-4-oxybutyric acid synthase", "EC:4.2.1.113", "OSB synthase", "o-succinylbenzoic acid synthase", "OSBS"]	NCBI:txid423368
P0AAZ4	RARA_ECOLI	Replication-associated recombination protein A	[]	NCBI:txid83333
P69237	NU3M_BRALA	NADH-ubiquinone oxidoreductase chain 3	["EC:7.1.1.2", "NADH dehydrogenase subunit 3"]	NCBI:txid7740
P0CV92	QPCT_CROAT	Glutaminyl-peptide cyclotransferase (fragment)	["Glutaminyl cyclase", "EC:2.3.2.5"]	NCBI:txid8730
P30387	1C04_GORGO	Class I histocompatibility antigen, Gogo-C*0203 alpha chain (precursor)	[]	NCBI:txid9595
C5CQ78	RS13_VARPS	30S ribosomal protein S13	[]	NCBI:txid543728
