id	name	description	synonyms	organism
ENSG00000171766	GATM	glycine amidinotransferase [Source:HGNC Symbol;Acc:HGNC:4175]	[]	NCBI:txid9606
ENSG00000005893	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	[]	NCBI:txid9606
ENSG00000266028	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:19751]	[]	NCBI:txid9606
ENSG00000165689	ENTR1	endosome associated trafficking regulator 1 [Source:HGNC Symbol;Acc:HGNC:10667]	[]	NCBI:txid9606
ENSG00000204882	GPR20	G protein-coupled receptor 20 [Source:HGNC Symbol;Acc:HGNC:4475]	[]	NCBI:txid9606
ENSG00000168172	HOOK3	hook microtubule tethering protein 3 [Source:HGNC Symbol;Acc:HGNC:23576]	[]	NCBI:txid9606
ENSG00000155592	ZKSCAN2	zinc finger with KRAB and SCAN domains 2 [Source:HGNC Symbol;Acc:HGNC:25677]	[]	NCBI:txid9606
ENSG00000112559	MDFI	MyoD family inhibitor [Source:HGNC Symbol;Acc:HGNC:6967]	[]	NCBI:txid9606
ENSG00000122515	ZMIZ2	zinc finger MIZ-type containing 2 [Source:HGNC Symbol;Acc:HGNC:22229]	[]	NCBI:txid9606
ENSG00000101146	RAE1	ribonucleic acid export 1 [Source:HGNC Symbol;Acc:HGNC:9828]	[]	NCBI:txid9606
ENSG00000084676	NCOA1	nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:7668]	[]	NCBI:txid9606
ENSG00000239732	TLR9	toll like receptor 9 [Source:HGNC Symbol;Acc:HGNC:15633]	[]	NCBI:txid9606
ENSG00000181752	OR8K5	olfactory receptor family 8 subfamily K member 5 [Source:HGNC Symbol;Acc:HGNC:15315]	[]	NCBI:txid9606
ENSG00000182890	GLUD2	glutamate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4336]	[]	NCBI:txid9606
ENSG00000235067	TUBB	tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]	[]	NCBI:txid9606
ENSG00000166220	TBATA	thymus, brain and testes associated [Source:HGNC Symbol;Acc:HGNC:23511]	[]	NCBI:txid9606
